x_new1,y_new1,x_new2,y_new2,x_new3,y_new3,x_new4,y_new4,x_new5,y_new5,x_new6,y_new6,x_new7,y_new7,x_new8,y_new8
5.76847,9.635442319,6.12883,60.52501014,6.3,84.69741363,5.76847,9.635442319,5.76847,9.635442319,6.12523,60.01662285,5.84454,20.37794821,5.84454,20.37794821
5.77247,10.03237117,6.13243,61.96520557,6.3016,86.37202187,5.77247,10.03237117,5.77247,10.03237117,6.12883,61.44581951,5.84855,21.00872977,5.84855,21.00872977
5.77648,10.35660882,6.13604,63.8103309,6.30501,88.93013126,5.77648,10.35660882,5.77648,10.35660882,6.13243,63.27365291,5.85255,21.66549924,5.85255,21.66549924
5.78048,10.6904856,6.13964,65.6885508,6.30841,91.53225128,5.78048,10.6904856,5.78048,10.6904856,6.13604,65.13728386,5.85656,22.34059363,5.85656,22.34059363
5.78448,11.03480776,6.14324,67.60308021,6.31181,94.1827259,5.78448,11.03480776,5.78448,11.03480776,6.13964,67.03544229,5.86056,23.03088917,5.86056,23.03088917
5.78849,11.38978999,6.14685,69.55442314,6.31522,96.8821921,5.78849,11.38978999,5.78849,11.38978999,6.14324,68.96849189,5.86456,23.73654645,5.86456,23.73654645
5.79249,11.75509497,6.15045,71.53979238,6.31862,99.62670869,5.79249,11.75509497,5.79249,11.75509497,6.14685,70.93853829,5.86857,24.46159787,5.86857,24.46159787
5.7965,12.13201653,6.15405,73.56269185,6.32202,102.4216222,5.7965,12.13201653,5.7965,12.13201653,6.15045,72.94417575,5.87257,25.20160532,5.87257,25.20160532
5.8005,12.51868749,6.15766,75.62344214,6.32543,105.2658564,5.8005,12.51868749,5.8005,12.51868749,6.15405,74.9856099,5.87658,25.96086952,5.87658,25.96086952
5.8045,12.91802327,6.16126,77.71968359,6.32883,108.1569922,5.8045,12.91802327,5.8045,12.91802327,6.15766,77.06578187,5.88058,26.73714626,5.88058,26.73714626
5.80851,13.32911692,6.16486,79.85439824,6.33223,111.099905,5.80851,13.32911692,5.80851,13.32911692,6.16126,79.18233142,5.88458,27.53026228,5.88458,27.53026228
5.81251,13.75056053,6.16847,82.02811764,6.33564,114.0934037,5.81251,13.75056053,5.81251,13.75056053,6.16486,81.33567472,5.88859,28.34365118,5.88859,28.34365118
5.81652,14.1860126,6.17207,84.2382604,6.33904,117.1355289,5.81652,14.1860126,5.81652,14.1860126,6.16847,83.52897031,5.89259,29.17370629,5.89259,29.17370629
5.82052,14.63162944,6.17568,86.48979511,6.34244,120.2297087,5.82052,14.63162944,5.82052,14.63162944,6.17207,85.75939761,5.8966,30.02460513,5.8966,30.02460513
5.82452,15.12894674,6.17928,88.80155835,6.34585,123.3929636,5.82452,15.12894674,5.82452,15.12894674,6.17568,88.05395038,5.9,30.80379374,5.9,30.80379374
5.82853,15.81916909,6.18288,91.27383857,6.34925,126.7003755,5.82853,15.81916909,5.82853,15.81916909,6.17928,90.50726087,5.9006,31.16562889,5.9006,31.16562889
5.83253,16.30748087,6.18649,93.65160695,6.35265,129.9593818,5.83253,16.30748087,5.83253,16.30748087,6.18288,92.86278252,5.9046,32.05556305,5.9046,32.05556305
5.83654,16.81028824,6.19009,96.06506338,6.35606,133.2703102,5.83654,16.81028824,5.83654,16.81028824,6.18649,95.25805676,5.90861,32.96611244,5.90861,32.96611244
5.84054,17.32599266,6.19369,98.52134587,6.35946,136.6347643,5.84054,17.32599266,5.84054,17.32599266,6.19009,97.69364299,5.91261,33.89614445,5.91261,33.89614445
5.84454,17.85409962,6.1973,101.020468,6.36286,140.0527391,5.84454,17.85409962,5.84454,17.85409962,6.19369,100.1693778,5.91662,34.84761315,5.91662,34.84761315
5.84855,18.39887373,6.2009,103.556853,6.36627,143.5244279,5.84855,18.39887373,5.84855,18.39887373,6.1973,102.6867842,5.92062,35.81716681,5.92062,35.81716681
5.85255,18.95652198,6.2045,106.1366959,6.36967,147.0503181,5.85255,18.95652198,5.85255,18.95652198,6.2009,105.2449538,5.92462,36.80870308,5.92462,36.80870308
5.85656,19.52784273,6.20811,108.7604667,6.37307,150.6316477,5.85656,19.52784273,5.85656,19.52784273,6.2045,107.8441539,5.92863,37.82110176,5.92863,37.82110176
5.86056,20.11539217,6.21171,111.4220451,6.37648,154.2658361,5.86056,20.11539217,5.86056,20.11539217,6.20811,110.4859666,5.93263,38.85516286,5.93263,38.85516286
5.86456,20.71560298,6.21532,114.130314,6.37988,157.9560777,5.86456,20.71560298,5.86456,20.71560298,6.21171,113.1688957,5.93664,39.91201184,5.93664,39.91201184
5.86857,21.33371452,6.21892,116.8777817,6.38328,161.700453,5.86857,21.33371452,5.86857,21.33371452,6.21532,115.8960245,5.94064,40.98794864,5.94064,40.98794864
